         37492 function calls (37385 primitive calls) in 0.301 seconds
   Ordered by: internal time
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        6    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        3    0.000    0.000    0.005    0.002 locale.py:347(_replace_encoding)
        3    0.000    0.000    0.000    0.000 shutil.py:1461(get_terminal_size)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        8    0.000    0.000    0.021    0.003 <frozen importlib._bootstrap_external>:1520(find_spec)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       22    0.000    0.000    0.000    0.000 :0(get_ident)
        4    0.000    0.000    0.000    0.000 :0(_abc_init)
        1    0.000    0.000    0.301    0.301 profile:0(main())
       10    0.000    0.000    0.042    0.004 __init__.py:226(compile)
       18    0.000    0.000    0.000    0.000 :0(encode)
        2    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       19    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.000    0.000 argparse.py:1914(parse_known_args)
       18    0.000    0.000    0.000    0.000 :0(from_bytes)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       10    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        2    0.000    0.000    0.000    0.000 argparse.py:1686(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       13    0.000    0.000    0.000    0.000 :0(setattr)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       11    0.000    0.000    0.000    0.000 :0(is_builtin)
        7    0.000    0.000    0.000    0.000 argparse.py:1433(_registry_get)
        3    0.000    0.000    0.046    0.015 gettext.py:534(translation)
        3    0.000    0.000    0.000    0.000 argparse.py:1519(_add_action)
        1    0.000    0.000    0.004    0.004 lzma.py:1(<module>)
        5    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       15    0.000    0.000    0.000    0.000 :0(isalnum)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       13    0.000    0.000    0.000    0.000 :0(rfind)
        3    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        2    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
        3    0.000    0.000    0.000    0.000 argparse.py:617(_format_args)
        3    0.000    0.000    0.046    0.015 gettext.py:593(dgettext)
        4    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       11    0.000    0.000    0.000    0.000 :0(allocate_lock)
        3    0.000    0.000    0.000    0.000 random.py:341(choice)
       12    0.000    0.000    0.000    0.000 :0(lower)
        3    0.000    0.000    0.000    0.000 argparse.py:857(__init__)
       11    0.000    0.000    0.000    0.000 _virtualenv.py:50(find_spec)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        5    0.000    0.000    0.000    0.000 :0(compile)
        1    0.000    0.000    0.144    0.144 main.py:290(parse_args)
       12    0.000    0.000    0.000    0.000 :0(isascii)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       10    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
       11    0.000    0.000    0.000    0.000 :0(remove)
       11    0.000    0.000    0.000    0.000 :0(_remove_dead_weakref)
        3    0.000    0.000    0.000    0.000 random.py:242(_randbelow_with_getrandbits)
        1    0.000    0.000    0.008    0.008 bz2.py:1(<module>)
        2    0.000    0.000    0.000    0.000 argparse.py:1509(add_argument_group)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        3    0.000    0.000    0.071    0.024 argparse.py:2634(_get_formatter)
        5    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        3    0.000    0.000    0.000    0.000 argparse.py:1708(_add_action)
        3    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       10    0.000    0.000    0.000    0.000 :0(extend)
        8    0.000    0.000    0.000    0.000 :0(find_frozen)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 argparse.py:1999(take_action)
        3    0.000    0.000    0.000    0.000 argparse.py:1633(_pop_action_class)
